h3_cell,latitude,longitude,bairro_clean
8981838107bffff,,,
8981839ab4fffff,-8.044471957142857,-34.95902802380952,várzea
8981839a103ffff,,,
89818398d43ffff,-8.025585240166,-34.958764649382,caxangá
8981839a3b3ffff,,,
8981839a2c7ffff,-8.114561122983046,-34.90260490629791,boa viagem
89818398b4fffff,,,
8981839a85bffff,-8.0720262,-34.9574046,curado
898183991abffff,-8.037475084210527,-34.8710334,santo amaro
8981839868fffff,,,
89818398edbffff,-8.034031423677883,-34.91780117340891,casa forte
898183985d3ffff,-8.082318123933502,-34.92054771919702,afogados
8981839918fffff,,,
898183982cbffff,-8.053489355555556,-34.876211999999995,santo amaro
89818398d6bffff,,,
89818398a63ffff,,,
8981839aac3ffff,,,
8981838a067ffff,,,
8981839a02bffff,,,
89818381223ffff,,,
89818383643ffff,-8.035349215559815,-34.9802320444207,várzea
8981838a02bffff,,,
89818381287ffff,,,
89818398857ffff,-8.0136067,-34.9391746,dois irmãos
8981839839bffff,-8.048589555299895,-34.90569984553241,madalena
898183812cbffff,,,
89818398637ffff,-8.067301050000001,-34.893627925000004,ilha do leite
898183989c3ffff,,,
8981839aa67ffff,-8.052247679862656,-34.948044461512374,cidade universitária
8981838a183ffff,,,
898183988d7ffff,-8.023487404981712,-34.9433207014856,dois irmãos
8981839a503ffff,-8.132769171686443,-34.94869455023959,ibura
8981839881bffff,-8.0160215,-34.94351230909091,dois irmãos
8981839a353ffff,-8.097689895176437,-34.91905696585452,imbiribeira
8981839a2cbffff,-8.11480372443724,-34.896693049751065,boa viagem
8981838122fffff,,,
8981839a13bffff,,,
8981839a293ffff,-8.120964352402456,-34.90748564709996,boa viagem
89818399ddbffff,-8.022800508719468,-34.89678603032888,água fria
8981838a0d7ffff,-7.9639101,-34.9236121,guabiraba
89818398a8fffff,-8.007120528571429,-34.92957177142857,macaxeira
8981838a3d3ffff,,,
8981839831bffff,-8.038433225129307,-34.90278846901464,graças
8981838a00bffff,,,
8981839a1d3ffff,-8.118525460635684,-34.94182936350097,ibura
8981838348fffff,,,
8981839847bffff,-8.077927553237634,-34.899671892448545,cabanga
89818398403ffff,-8.0854369085646,-34.907150638699065,imbiribeira
89818399ca3ffff,-8.027289680346966,-34.893805858834384,arruda
89818399197ffff,-8.0493957,-34.8701559,bairro do recife
8981838a437ffff,,,
89818398883ffff,,,
8981839a8dbffff,,,
8981839ae57ffff,-8.0851317,-34.9424541,jardim são paulo
89818398033ffff,-8.058466943918617,-34.91134718626828,prado
8981839aa93ffff,,,
8981839ab2bffff,,,
8981839a1bbffff,-8.112404775743924,-34.95384546579788,cohab
8981838a0b7ffff,,,
898183983a3ffff,-8.038920565218735,-34.915042969720666,santana
89818398b8bffff,,,
89818399d6bffff,-8.004144060687159,-34.89896574344685,beberibe
89818398dbbffff,,,
8981839ab6bffff,,,
89818381217ffff,,,
898183816dbffff,,,
89818398d03ffff,,,
89818381057ffff,,,
8981839a0abffff,-8.12238395887263,-34.932710116996255,ibura
8981839ae0bffff,-8.08337293805598,-34.94384751579987,jardim são paulo
8981839a333ffff,-8.094444272729564,-34.93378751557542,areias
89818398d87ffff,-8.032703873388375,-34.97449941099796,várzea
89818398a6fffff,,,
8981839ae23ffff,,,
89818398e37ffff,-8.020696632364897,-34.935800581219105,apipucos
8981839919bffff,,,
8981839ab17ffff,,,
8981839ae47ffff,-8.080609185066567,-34.940859916654624,jardim são paulo
8981839a8c3ffff,,,
8981839a14fffff,,,
8981839a543ffff,-8.130894005153465,-34.93882832680981,jordão
8981838a167ffff,,,
8981839895bffff,,,
8981839a05bffff,-8.121489961589322,-34.914515230754546,imbiribeira
8981839a163ffff,,,
8981838a487ffff,,,
89818398437ffff,-8.080297167623323,-34.915132634055006,afogados
8981839a10bffff,,,
89818399cc7ffff,-8.031797066722742,-34.88127857523322,campo grande
8981839a9cbffff,,,
89818398333ffff,-8.034558030499136,-34.911416783655675,parnamirim
8981838a02fffff,,,
8981839acdbffff,,,
8981838a1d7ffff,,,
898183983d3ffff,-8.047111526779926,-34.89939706146204,graças
89818398477ffff,-8.077910835734288,-34.90603014435918,afogados
8981838a023ffff,,,
89818398a57ffff,-8.0030392,-34.9203031,vasco da gama
8981839ad6fffff,,,
8981838a143ffff,,,
8981839a827ffff,,,
89818398697ffff,,,
898183912cbffff,-8.1253282,-34.9602688,cohab
89818399c27ffff,-8.018240114095518,-34.89297627548057,água fria
89818399d37ffff,-8.0101952,-34.9132171,alto josé bonifácio
8981806592fffff,-8.1478203,-34.9117083,boa viagem
898183982d3ffff,-8.059944833484781,-34.88013389373804,boa vista
8981839a3c7ffff,-8.1031758075283,-34.92478064278062,ipsep
8981838a06fffff,,,
89818381077ffff,,,
8981839a2b3ffff,-8.115387950238148,-34.914238030787686,imbiribeira
8981838124bffff,,,
89818398e47ffff,-8.021383822816476,-34.92026843168033,casa amarela
8981838102fffff,,,
89818399c43ffff,-8.024725556707857,-34.87561590533978,campo grande
8981839816fffff,-8.036614695397741,-34.92393317314032,poço da panela
8981839aaafffff,,,
8981839863bffff,-8.068454037770458,-34.888239291104966,coelhos
8981839a0bbffff,,,
8981839a327ffff,-8.08920926786232,-34.93585077554748,areias
8981839aa1bffff,-8.0635118,-34.9429655,engenho do meio
89818398e8fffff,-8.030817622385,-34.930863784006,iputinga
8981839825bffff,-8.0497496,-34.87425774,santo amaro
898183813dbffff,,,
89818398897ffff,,,
89818398163ffff,,,
8981839a6c7ffff,-8.137865556628467,-34.90356209345948,boa viagem
8981839a24fffff,,,
89818398c73ffff,-8.032893793236504,-34.943205568716934,iputinga
8981839a803ffff,,,
8981839a023ffff,-8.113190679999999,-34.93235276,ibura
8981838121bffff,,,
89818398bdbffff,-7.9986204,-34.938773575,córrego do jenipapo
89818398b07ffff,,,
8981838a017ffff,,,
898183980cfffff,-8.065856665899746,-34.90112638349958,ilha do retiro
89818381667ffff,,,
8981839aa2bffff,,,
89818398c27ffff,-8.02975408374263,-34.95623453684284,caxangá
8981839a21bffff,-8.111113557535544,-34.90463101262597,imbiribeira
8981839a80bffff,,,
89818398363ffff,-8.029072102457336,-34.902559814660535,tamarineira
8981838a637ffff,,,
8981839ab27ffff,,,
8981839b5afffff,-8.119111799814622,-34.89535387476272,boa viagem
89818398a13ffff,,,
89818399d7bffff,-8.005608241078352,-34.90015486861498,linha do tiro
8981838a05bffff,,,
8981838138fffff,,,
8981839a427ffff,-8.13605597777778,-34.93651672222222,jordão
898183985c3ffff,-8.080930203276624,-34.92023775481276,afogados
8981839ae7bffff,-8.07992668639829,-34.94208130139664,jardim são paulo
8981839817bffff,,,
89818381343ffff,,,
8981839ac67ffff,-8.087690484495278,-34.96832230351512,coqueiral
8981839b197ffff,-8.108356377986174,-34.891331506089976,boa viagem
89818399c13ffff,-8.02935814,-34.88435134,campo grande
89818398cafffff,-8.036419075,-34.9561608,várzea
8981839a40fffff,-8.140637628333334,-34.928412475,jordão
8981839b107ffff,-8.095626385414178,-34.88714000117627,pina
8981838a1cbffff,,,
89818398c47ffff,-8.034232259471475,-34.9405803443475,iputinga
8981838a123ffff,,,
8981839ababffff,,,
89818383693ffff,,,
8981839a447ffff,-8.140781555627827,-34.92107749740595,jordão
8981838a5abffff,,,
8981839824fffff,-8.043674305784416,-34.876179883270446,santo amaro
89818398137ffff,-8.043551901945753,-34.93518781768199,iputinga
8981839827bffff,-8.042344524014446,-34.878447273841815,santo amaro
8981839b187ffff,-8.1046741,-34.8899181,boa viagem
8981839a863ffff,,,
89818398233ffff,-8.045445096899007,-34.89004206519318,espinheiro
89818398bcbffff,-7.993892633358424,-34.937466229867255,guabiraba
8981839b10fffff,-8.094451628629882,-34.885059092606035,pina
8981838a483ffff,,,
8981838129bffff,,,
89818398a03ffff,-8.0009767,-34.9245848,nova descoberta
8981839a1afffff,-8.107353759707694,-34.95693660561176,barro
898183998b7ffff,-8.004969400633835,-34.895437228210824,beberibe
8981839ae97ffff,,,
89818398c37ffff,-8.031143940106114,-34.95623538866012,várzea
89818398e07ffff,-8.024041798734002,-34.92916076060062,alto do mandu
8981806592bffff,,,
8981839b12bffff,-8.087721478347044,-34.887853517234966,pina
89818398a37ffff,,,
8981838a187ffff,,,
8981839849bffff,,,
89818398613ffff,-8.07573352369014,-34.88642937793575,são josé
8981838a6afffff,,,
89818399c17ffff,-8.028111698897776,-34.88881305254398,campo grande
8981839ab2fffff,,,
8981839988fffff,-8.0069209,-34.8885868,beberibe
89818398453ffff,-8.086929154262153,-34.896105952115605,pina
8981839a043ffff,-8.119197909812396,-34.91803645978823,imbiribeira
8981839aa8bffff,,,
8981838a40fffff,-7.9741494,-34.9265044,guabiraba
89818398b87ffff,,,
